CisControl,CheckId,Collector,Area,Name
5.2.2.12,MANUAL-CIS-5-2-2-12,,,"Ensure the device code sign-in flow is blocked"
5.2.3.1,MANUAL-CIS-5-2-3-1,,,"Ensure Microsoft Authenticator is configured to protect against MFA fatigue"
5.2.3.2,ENTRA-PASSWORD-002,Entra,PASSWORD,"Ensure custom banned passwords lists are used"
5.2.3.3,MANUAL-CIS-5-2-3-3,,,"Ensure password protection is enabled for on-prem Active Directory"
5.2.3.4,ENTRA-MFA-001,Entra,MFA,"Ensure all member users are 'MFA capable'"
5.2.3.5,MANUAL-CIS-5-2-3-5,,,"Ensure weak authentication methods are disabled"
5.2.3.6,MANUAL-CIS-5-2-3-6,,,"Ensure system-preferred multifactor authentication is enabled"
5.2.3.7,MANUAL-CIS-5-2-3-7,,,"Ensure the email OTP authentication method is disabled"
5.2.4.1,MANUAL-CIS-5-2-4-1,,,"Ensure 'Self service password reset enabled' is set to 'All'"
5.3.1,MANUAL-CIS-5-3-1,,,"Ensure 'Privileged Identity Management' is used to manage roles"
5.3.2,MANUAL-CIS-5-3-2,,,"Ensure 'Access reviews' for Guest Users are configured"
5.3.3,MANUAL-CIS-5-3-3,,,"Ensure 'Access reviews' for privileged roles are configured"
5.3.4,MANUAL-CIS-5-3-4,,,"Ensure approval is required for Global Administrator role activation"
5.3.5,MANUAL-CIS-5-3-5,,,"Ensure approval is required for Privileged Role Administrator activation"
6.1.1,EXO-AUDIT-001,ExchangeOnline,AUDIT,"Ensure 'AuditDisabled' organizationally is set to 'False'"
6.1.2,MANUAL-CIS-6-1-2,,,"Ensure mailbox audit actions are configured"
6.1.3,EXO-AUDIT-002,ExchangeOnline,AUDIT,"Ensure 'AuditBypassEnabled' is not enabled on mailboxes"
6.2.1,EXO-FORWARD-001,ExchangeOnline,FORWARD,"Ensure all forms of mail forwarding are blocked and/or disabled"
6.2.2,MANUAL-CIS-6-2-2,,,"Ensure mail transport rules do not whitelist specific domains"
6.2.3,EXO-EXTTAG-001,ExchangeOnline,EXTTAG,"Ensure email from external senders is identified"
6.3.1,EXO-ADDINS-001,ExchangeOnline,ADDINS,"Ensure users installing Outlook add-ins is not allowed"
6.5.1,EXO-AUTH-001,ExchangeOnline,AUTH,"Ensure modern authentication for Exchange Online is enabled"
6.5.2,EXO-MAILTIPS-001,ExchangeOnline,MAILTIPS,"Ensure MailTips are enabled for end users"
6.5.3,EXO-OWA-001,ExchangeOnline,OWA,"Ensure additional storage providers are restricted in Outlook on the web"
6.5.4,EXO-AUTH-002,ExchangeOnline,AUTH,"Ensure SMTP AUTH is disabled"
7.2.1,MANUAL-CIS-7-2-1,,,"Ensure modern authentication for SharePoint applications is required"
7.2.2,MANUAL-CIS-7-2-2,,,"Ensure SharePoint and OneDrive integration with Azure AD B2B is enabled"
7.2.3,SPO-SHARING-001,SharePoint,SHARING,"Ensure external content sharing is restricted"
7.2.4,MANUAL-CIS-7-2-4,,,"Ensure OneDrive content sharing is restricted"
7.2.5,SPO-SHARING-002,SharePoint,SHARING,"Ensure that SharePoint guest users cannot share items they don't own"
7.2.6,SPO-SHARING-003,SharePoint,SHARING,"Ensure SharePoint external sharing is managed through domain whitelist/blacklists"
7.2.7,SPO-SHARING-004,SharePoint,SHARING,"Ensure link sharing is restricted in SharePoint and OneDrive"
7.2.8,MANUAL-CIS-7-2-8,,,"Ensure external sharing is restricted by security group"
7.2.9,SPO-SHARING-005,SharePoint,SHARING,"Ensure guest access to a site or OneDrive will expire automatically"
7.2.10,SPO-SHARING-006,SharePoint,SHARING,"Ensure reauthentication with verification code is restricted"
7.2.11,SPO-SHARING-007,SharePoint,SHARING,"Ensure the SharePoint default sharing link permission is set"
7.3.1,MANUAL-CIS-7-3-1,,,"Ensure Office 365 SharePoint infected files are disallowed for download"
7.3.2,SPO-SYNC-001,SharePoint,SYNC,"Ensure OneDrive sync is restricted for unmanaged devices"
7.3.3,MANUAL-CIS-7-3-3,,,"Ensure custom script execution is restricted on personal sites"
7.3.4,MANUAL-CIS-7-3-4,,,"Ensure custom script execution is restricted on site collections"
8.1.1,MANUAL-CIS-8-1-1,,,"Ensure external file sharing in Teams is enabled for only approved cloud storage services"
8.1.2,MANUAL-CIS-8-1-2,,,"Ensure users can't send emails to a channel email address"
8.2.1,MANUAL-CIS-8-2-1,,,"Ensure external domains are restricted in the Teams admin center"
8.2.2,TEAMS-EXTACCESS-001,Teams,EXTACCESS,"Ensure communication with unmanaged Teams users is disabled"
8.2.3,TEAMS-EXTACCESS-002,Teams,EXTACCESS,"Ensure external Teams users cannot initiate conversations"
8.2.4,MANUAL-CIS-8-2-4,,,"Ensure communication with Skype users is disabled"
8.4.1,MANUAL-CIS-8-4-1,,,"Ensure app permission policies are configured"
8.5.1,TEAMS-MEETING-001,Teams,MEETING,"Ensure anonymous users can't join a meeting"
8.5.2,TEAMS-MEETING-002,Teams,MEETING,"Ensure anonymous users and dial-in callers can't start a meeting"
8.5.3,TEAMS-MEETING-003,Teams,MEETING,"Ensure only people in my org can bypass the lobby"
8.5.4,TEAMS-MEETING-004,Teams,MEETING,"Ensure users dialing in can't bypass the lobby"
8.5.5,MANUAL-CIS-8-5-5,,,"Ensure meeting chat does not allow anonymous users"
8.5.6,MANUAL-CIS-8-5-6,,,"Ensure only organizers and co-organizers can present"
8.5.7,TEAMS-MEETING-005,Teams,MEETING,"Ensure external participants can't give or request control"
8.5.8,MANUAL-CIS-8-5-8,,,"Ensure external meeting chat is off"
8.5.9,MANUAL-CIS-8-5-9,,,"Ensure meeting recording is off by default"
8.6.1,MANUAL-CIS-8-6-1,,,"Ensure users can report security concerns in Teams"
9.1.1,MANUAL-CIS-9-1-1,,,"Ensure guest user access is restricted in Power BI"
9.1.2,MANUAL-CIS-9-1-2,,,"Ensure external user invitations are restricted in Power BI"
9.1.3,MANUAL-CIS-9-1-3,,,"Ensure guest access to content is restricted in Power BI"
9.1.4,MANUAL-CIS-9-1-4,,,"Ensure 'Publish to web' is restricted in Power BI"
9.1.5,MANUAL-CIS-9-1-5,,,"Ensure 'Interact with and share R and Python' visuals is 'Disabled' in Power BI"
9.1.6,MANUAL-CIS-9-1-6,,,"Ensure 'Allow users to apply sensitivity labels for content' is 'Enabled' in Power BI"
9.1.7,MANUAL-CIS-9-1-7,,,"Ensure shareable links are restricted in Power BI"
9.1.8,MANUAL-CIS-9-1-8,,,"Ensure enabling of external data sharing is restricted in Power BI"
9.1.9,MANUAL-CIS-9-1-9,,,"Ensure 'Block ResourceKey Authentication' is 'Enabled' in Power BI"
9.1.10,MANUAL-CIS-9-1-10,,,"Ensure access to APIs by Service Principals is restricted in Power BI"
9.1.11,MANUAL-CIS-9-1-11,,,"Ensure Service Principals cannot create and use profiles in Power BI"
